TyreLife,PaceLoss
1,1.0545819583431864
2,1.1257546260682731
3,1.1942743522340762
4,1.2601411368405957
5,1.3233549798878315
6,1.3839158813757835
7,1.441823841304452
8,1.4970788596738365
9,1.5496809364839375
10,1.5996300717347547
11,1.6469262654262884
12,1.691569517558538
13,1.733559828131504
14,1.7728971971451866
15,1.8095816245995853
16,1.8436131104947004
17,1.8749916548305317
18,1.9037172576070793
19,1.9297899188243433
20,1.9532096384823234
21,1.97397641658102
22,1.992090253120433
23,2.0075511481005623
24,2.0203591015214073
25,2.030514113382969
26,2.0380161836852473
27,2.0428653124282414
28,2.0450614996119523
29,2.044604745236379
30,2.0414950493015223
31,2.0357324118073814
32,2.0273168327539572
33,2.0162483121412498
34,2.002526849969258
35,1.9861524462379827
36,1.9671251009474238
37,1.9454448140975813
38,1.9211115856884546
39,1.8941254157200447
