TyreLife,PaceLoss
1,1.4732727264092595
2,1.4958974460317387
3,1.5202913741965545
4,1.5464545109037067
5,1.574386856153195
6,1.6040884099450203
7,1.6355591722791818
8,1.6687991431556797
9,1.7038083225745144
10,1.7405867105356851
11,1.7791343070391927
12,1.8194511120850365
13,1.8615371256732172
14,1.9053923478037338
15,1.9510167784765873
16,1.998410417691777
17,2.0475732654493033
18,2.0985053217491663
19,2.151206586591365
20,2.2056770599759012
21,2.2619167419027733
22,2.319925632371982
23,2.3797037313835263
24,2.4412510389374082
25,2.504567555033626
26,2.569653279672181
