Time,Event,Group
15,1,SOFT
13,1,SOFT
14,1,SOFT
12,1,SOFT
12,1,SOFT
10,1,SOFT
10,1,SOFT
13,1,SOFT
11,1,SOFT
9,1,SOFT
1,1,SOFT
12,1,SOFT
11,1,SOFT
11,1,SOFT
15,1,SOFT
12,1,SOFT
14,1,SOFT
17,1,SOFT
12,1,SOFT
9,1,SOFT
19,1,HARD
19,1,HARD
18,1,HARD
20,1,HARD
18,1,HARD
20,1,HARD
23,1,HARD
21,1,HARD
24,1,HARD
22,1,HARD
21,1,HARD
19,1,HARD
18,1,HARD
20,1,HARD
22,1,HARD
21,1,HARD
20,1,HARD
26,1,HARD
21,1,HARD
20,1,HARD
21,1,HARD
30,0,HARD
28,0,HARD
12,1,HARD
26,0,HARD
26,0,HARD
26,0,HARD
12,1,HARD
24,0,HARD
24,0,HARD
24,0,HARD
23,0,HARD
23,0,HARD
22,0,HARD
22,0,HARD
21,0,SOFT
21,0,SOFT
20,0,HARD
20,0,SOFT
16,0,HARD
15,0,SOFT
15,0,SOFT
13,0,SOFT
18,1,MEDIUM
9,1,SOFT
17,1,SOFT
9,1,SOFT
17,1,SOFT
14,1,SOFT
15,1,SOFT
15,1,SOFT
16,1,SOFT
21,1,SOFT
13,1,SOFT
23,1,SOFT
10,1,SOFT
24,1,SOFT
12,1,SOFT
13,1,SOFT
19,1,SOFT
16,1,SOFT
11,1,SOFT
14,1,SOFT
32,1,MEDIUM
18,1,MEDIUM
19,1,MEDIUM
17,1,SOFT
26,1,MEDIUM
24,1,MEDIUM
18,1,SOFT
24,1,MEDIUM
20,1,MEDIUM
21,1,MEDIUM
21,1,MEDIUM
27,1,MEDIUM
26,1,MEDIUM
27,1,MEDIUM
20,1,MEDIUM
25,1,SOFT
26,1,MEDIUM
25,1,MEDIUM
24,1,MEDIUM
23,1,MEDIUM
17,1,HARD
37,0,HARD
36,0,HARD
18,1,MEDIUM
30,0,HARD
30,0,HARD
30,0,HARD
29,0,HARD
28,0,HARD
28,0,HARD
28,0,HARD
24,0,HARD
23,0,HARD
23,0,SOFT
22,0,SOFT
22,0,SOFT
21,0,SOFT
20,0,HARD
20,0,SOFT
19,0,SOFT
19,0,SOFT
17,0,SOFT
27,1,MEDIUM
19,1,SOFT
19,1,HARD
19,1,MEDIUM
28,1,MEDIUM
26,1,MEDIUM
26,1,MEDIUM
27,1,MEDIUM
27,1,MEDIUM
26,1,MEDIUM
27,1,MEDIUM
26,1,MEDIUM
26,1,MEDIUM
27,1,MEDIUM
26,1,MEDIUM
27,1,MEDIUM
12,1,SOFT
27,1,MEDIUM
27,1,MEDIUM
7,1,MEDIUM
8,1,INTERMEDIATE
9,1,INTERMEDIATE
2,1,INTERMEDIATE
7,1,INTERMEDIATE
5,1,MEDIUM
12,1,INTERMEDIATE
13,1,INTERMEDIATE
13,1,INTERMEDIATE
13,1,INTERMEDIATE
11,1,INTERMEDIATE
11,1,INTERMEDIATE
12,1,INTERMEDIATE
11,1,INTERMEDIATE
6,0,INTERMEDIATE
11,1,INTERMEDIATE
11,1,INTERMEDIATE
11,1,INTERMEDIATE
12,1,INTERMEDIATE
10,1,INTERMEDIATE
11,1,INTERMEDIATE
11,1,INTERMEDIATE
10,1,INTERMEDIATE
10,1,INTERMEDIATE
9,1,INTERMEDIATE
15,0,SOFT
14,0,SOFT
14,0,SOFT
14,0,SOFT
14,0,HARD
14,0,MEDIUM
14,0,SOFT
10,1,MEDIUM
14,0,MEDIUM
14,0,SOFT
14,0,MEDIUM
14,0,SOFT
13,0,SOFT
13,0,SOFT
11,1,HARD
13,0,SOFT
13,0,MEDIUM
12,0,MEDIUM
3,0,SOFT
2,0,SOFT
25,1,INTERMEDIATE
44,1,INTERMEDIATE
25,1,INTERMEDIATE
24,0,INTERMEDIATE
25,1,INTERMEDIATE
25,1,INTERMEDIATE
26,1,INTERMEDIATE
25,1,INTERMEDIATE
25,1,INTERMEDIATE
44,1,INTERMEDIATE
25,1,INTERMEDIATE
24,1,INTERMEDIATE
7,1,WET
25,1,INTERMEDIATE
12,1,WET
26,1,INTERMEDIATE
25,1,INTERMEDIATE
42,1,INTERMEDIATE
25,1,INTERMEDIATE
25,1,INTERMEDIATE
18,1,INTERMEDIATE
13,1,INTERMEDIATE
20,1,INTERMEDIATE
20,1,INTERMEDIATE
20,1,INTERMEDIATE
19,1,INTERMEDIATE
18,1,INTERMEDIATE
19,1,INTERMEDIATE
19,1,INTERMEDIATE
19,1,INTERMEDIATE
3,1,INTERMEDIATE
18,1,INTERMEDIATE
16,1,INTERMEDIATE
15,1,INTERMEDIATE
18,1,INTERMEDIATE
19,1,INTERMEDIATE
21,1,INTERMEDIATE
17,1,INTERMEDIATE
3,1,HARD
10,0,INTERMEDIATE
30,0,HARD
13,1,MEDIUM
